,MarketName,Website,city,x,y,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
13,25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,San Mateo,-122.3098753,37.5433429,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N
14,29th and Wharton Farmers' Market,http://www.foodtrustmarkets.org/graysferry.html,Philadelphia,-75.19204,39.9373,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
15,2nd Street Public Market,http://www.secondstreetpublicmarket.com,Tillamook,-123.844,45.4569,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
16,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,Morris,-88.425153,41.356286,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N
17,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,Baltimore,-76.611,39.3272,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N
18,33rd and Diamond Farmers' Market,http://www.foodtrustmarkets.org/markets.html,Philadelphia,-75.18706,39.98867,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
19,38th & Meridian Farmers Market,,Indianapolis,-86.15875,39.82604,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N
20,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,Carson City,-119.7678,39.16257,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N
21,3rd Street N (hwy 11) beside jack's Restaurant,,Attalla,-86.090988,34.019132,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N
22,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,Larimer,-105.073,40.3954,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
23,52 & Shadeland Avenue Farmers Market,,Indianapolis,-86.0476,39.8481,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
24,52nd and Haverford Farmers' Market,http://www.foodtrustmarkets.org/markets.html,Philadelphia,-75.22461,39.96498,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
25,57th Street Greenmarket,http://www.grownyc.org,New York,-73.9858,40.7682,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N
26,58th and Chester Farmers' Market,http://www.foodtrustmarkets.org/markets.html,Philadelphia,-75.228324,39.935556,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
27,5th Street Farmers Market,,Millersburg,-84.1487,38.3004,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
28,61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,Chicago,-87.591308,41.784206,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N
29,6701 Burnet Road Market,http://www.6701burnetroadmarket.com,Austin,-97.7018,30.4258,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N
30,79th Street Greenmarket,http://www.grownyc.org,New York,-73.9757,40.7818,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N
31,82nd Street Greenmarket,http://www.grownyc.org,New York,-73.9501,40.7737,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N
32,84 west farmers market (Dothan),,Dothan,-85.450141,31.232699,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N
33,8th Avenue City Farmers Market,,Cedar Rapids,-91.6626534,41.972837,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
34,92nd Street Greenmarket,http://www.grownyc.org,New York,-73.9464,40.7809,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N
35,97th Street Greenmarket,http://www.grownyc.org,New York,-73.967,40.7936,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N
36,A Better Choice Bakery & Market,,Brunswick,-77.6277075,39.313066,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N
37,A Kentucky Farmer's Market LLC,,Russell Springs,-85.076795,37.032535,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
38,AAMC Farmers's Market,,Annapolis,-76.6123,39.006,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
39,Abacoa Town Center Green Market,,Jupiter,-80.1296,26.8838,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40,Abbeville Farmers Market,,Abbeville,-82.380242,34.177429,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N
41,ABBEVILLE FARMERS MARKET,,ABBEVILLE,-85.2466,31.5633,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
42,Abbotsford Farmers Market,,Abbotsford,-90.307145,44.945665,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N
43,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,Minneapolis,-93.2629,44.9556,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
44,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,Aberdeen,-98.4866,45.4631,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
45,Abilene Farmers Market,,Abilene,-97.2139,38.9153,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
46,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,Abingdon,-81.977406,36.708734,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
47,Abingdon Square Greenmarket,http://www.grownyc.org,New York,-74.0053,40.7372,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N
48,Abington,http://www.abingtonsage.com,Abington,-70.9369,42.119,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N
49,Abington Farmers Market,,Clarks Summit,-75.7746,41.425,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
50,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,Albququerque,-106.565838,35.103988,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
51,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,Albuquerque,-106.633172,35.082375,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
52,ABV Farm Market,http://www.appleblossomvillage.com/,Mount Bethe,-75.0998,40.8743,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
53,Acadia Farmers' Market in Town Hill,,Town Hill,-68.9716,44.5908,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
54,Acadiana Farmers Market,,Opelousas,-92.0634,30.2147,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
55,Ace Farmers Market,,Rome,-75.4541,43.2098,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
56,Acme Ranch Truck Patch,http://www.agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,Birch Tree,-91.492638,36.991165,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N
57,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,Acton,-71.47415,42.47518,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y
58,Acushnet farmers market,http://www.stonebridgefarmevents.com,Acushnet,-70.8999,41.7199,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
59,Acworth Farmers Market,,Acworth,-84.6767,34.0657,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
60,Ada Farmer's Market,,Ada,-96.6797,34.7739,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
61,Ada Farmers' Market,http://www.adafarmersmarket.com,Ada,-85.4889683,42.9553715,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
62,AdairCo Farmers Market,,Columbia,-85.297,37.1043,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
63,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,Gettysburg,-77.237298,39.825018,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N
64,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,Gettysburg,-77.200397,39.793778,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N
65,Adams Farmers Market,,Adams,-73.1158,42.6293,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
66,Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,Washington,-77.0426,38.9226,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
67,Added Value Farm Stand at Governors Island,,Brooklyn,-74.0231,40.6875,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
68,Addison Farmers Market,,Addison,-87.9934,41.9321,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
69,Adel Farmers Market,,Adel,-94.0175,41.6144,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70,Adelanto Stadium Farmers Market,,Victorville,-117.405,34.5593,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
71,Adrian Farmers Market,,Adrian,-84.0351,41.9002,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
72,Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,Concord,-80.670172,35.414038,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N
73,AGH Wellness Committee Farmer's Market,,Berlin,-75.2113,38.3388,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
74,Agricenter International Farmers Market,http://www.agricenter.org,Memphis,-89.801873,35.127315,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
75,Agritopia Farm Stand,http://www.agritopia.com,Gilbert,-111.726,33.3219,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
76,Ahwatukee Farmers' Market,http://www.arizonafarmersmarkets.com,Phoenix,-111.983133,33.331186,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
77,Aiken County Farmers Market,http://www.VisitAikenSC.com,Aiken,-81.7084941,33.5568819,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
78,Airport District Collaborative Certified Farmers' Market,,Modesto,-120.968681,37.626471,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
79,Airport Farmers and Flea Market,http://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/212219902247327,Brooksville,-82.441117,28.48114,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y
80,Akebono Farmers’ Market,,Pahoa,-154.951,19.4975,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
81,Akers of Strawberries,,Baker,-86.7014,30.7979,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
82,Akron Farmers Market,,Akron,-96.5573,42.8309,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
83,Akwesasne Farmers Market,,Hogansburg,-74.6677,44.9739,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
84,Ala Moana Farmers' Market,http://www.alamoanafarmersmarket.com,Honolulu,-157.84505,21.291364,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N
85,Alachua County Farmers' Market,http://www.441market.com,Gainesville,-82.352515,29.710665,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
86,Alamance County Farmers Market,,Burlington,-79.4357,36.0943,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
87,Alameda Farmers' Market,http://www.pcfma.com,Alameda,-122.277,37.7742,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
88,Alamo Farmers Market,,Alamo,-115.1435,37.33075,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N
89,Alamogordo Alameda Park Farmers' Market,,Alamogordo,-105.9606168,32.9126233,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
90,Alamogordo Otero County Farmers' Market,,Alamogordo,-105.9606,32.92649,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
91,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,Alamosa,-105.864687,37.467893,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
92,Albany Downtown Farmers Market,http://www.eastbaker.net,Albany,-84.15366,31.57684,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
93,Albany Farmers' Market,http://www.locallygrown.org,Albany,-123.105896,44.634984,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
94,Albert Lea Farmers Market,http://www.albertleafarmersmarket.com,Albert Lea,-93.369112,43.650982,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
95,Alberta Farmers Market,,Portland,-122.65,45.5591,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
96,ALBERTA FARMERS MARKET,,ALBERTA,-87.4101,32.2319,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
97,Albion Farmers Market,,Albion,-85.4148,41.3959,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
98,Albuquerque Downtown Growers' Market,http://www.downtownabq.com/growersmarket,Albuquerque,-106.656754,35.085834,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
99,Albuquerque Northeast Farmers' & Artisans' Market,http://www.abqnemarket.org,Albuquerque,-106.55762,35.1506,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
100,Albuquerque VA Growers' Market,,Albuquerque,-106.578,35.0553,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
101,Alcona Farmers Market,http://www.alconalocalfoods.org,Harrisville,-83.2973,44.6547,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N
102,Alderson Farmers Market,http://www.aldersonmarket.org,Alderson,-80.642024,37.725954,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N
103,Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,Maplewood,-93.0877,44.9609,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
104,Alexander City Downtown Market,http://www.mainstreetac.org,Alexander City,-85.9549,32.9442,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
105,Alexandria Bay Farmers Market,,Alexandria Bay,-75.9157,44.3314,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
106,Alexandria Farmers Market,http://www.alexandriava.gov/market/farmersmarket.html,Alexandria,-77.043,38.8048,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
107,Alexandria Farmers' Market,http://www.mfma.org/alexandria,Alexandria,-95.376724,45.890763,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N
108,alfred farmers market,http://www.alfredfarmersmarket.com/,alfred,-77.790122,42.253728,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N
109,Algoma Farm Market,,Algoma,-87.4363,44.6077,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
110,Algonquin Farmers Market,,Algonquin,-88.293,42.165,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
111,Alhambra Farmers Market,http://www.farmernet.com,Alhambra,-118.123,34.094,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
112,Alii Garden Market Place,,Kailua-Kona,-155.982,19.6144,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
113,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,Salinas,-121.634203,36.673352,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N
114,All Locally Grown Produce,http://www.teenaspridecsa.com,Homestead,-80.516728,25.513552,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N
115,All-Local Farmers Market,http://www.stateplate.org,Columbia,-81.0358,33.9847,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
116,All-Local Farmers Market 2,http://www.localharvest.org,Columbia,-81.0044,33.9874,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
117,Allamakee Farmers Market,,Waukon,-91.4742,43.2569,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y
118,Allegan Farmers Market,,Allegan,-85.8584,42.5287,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
119,Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,Sparta,-81.122593,36.503003,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N
120,Allen County Farmers' Market,,Iola,-95.4055011,37.922165,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N
121,Allen Street Farmers Market,http://www.allenneighborhoodcenter.org/food/market,Lansing,-84.526307,42.729961,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N
122,Allendale County Farmers Market,,Allendale,-81.3191,33.0044,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
123,Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,Allentown,-75.4942,40.6008,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
124,Allentown Turnpike Plaza Farmers Market,,Allentown,-75.490183,40.608431,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
125,Alliance Farmers Market,,Alliance,-102.871,42.0971,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
126,Alliance Farmers' Market,http://www.alliancefarmersmarket.com,Alliance,-81.1024,40.9216,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N
127,Alliance for the Arts GreenMarket,http://www.artinlee.org,Ft. Myers,-81.89128,26.59521,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N
128,Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,Allston,-71.1299,42.3629,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N
129,Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,Boston,-71.1378418,42.353384,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
130,Alma Farmers Market,,Alma,-99.3625,40.1008,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
131,Alma Farmers' Market,,Alma,-84.656984,43.38027,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N
132,Almont Farmers' Market,http://www.almontfarmersmarket.com,Almont,-83.0475,42.9216,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
133,Aloha Farmers Market,http://www.alohafarmersmarket.com,Aloha,-122.87,45.4941,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
134,Alpena Farmers' Market,http://www.alpenafarmersmarket.org,Alpena,-83.429897,45.061184,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N
135,Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,Cascade,-115.998,44.4251,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N
136,ALPHARETTA FARMERS MARKET,http://www.alpharettafarmersmarket.com,ALPHARETTA,-84.29514,34.075892,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
137,Alpine Flowerland Farmers' Market,,Comstock Park,-85.4386,44.3365,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
138,Alsip Farmers Market,http://www.merrillsmarkets.com,Alsip,-87.700424,41.665699,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N
139,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,Altadena,-118.15813,34.200379,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N
140,Altamont Farmer's Market,,Altamont,-74.0325,42.7013,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N
141,Altavista Farmers Market,http://www.ci.altavista.va.us,Altavista,-79.2838,37.1185,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
142,Alton Farmers and Artisans Market,http://www.AltonMainStreet.org,Alton,-90.185394,38.895809,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
143,Altoona Farmers Market,,Altoona,-78.2462,40.6787,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
144,Altus Farmers Market,,Altus,-99.3336,34.6491,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N
145,Alum Rock Village Farmers' Market,http://www.pcfma.com/market_home.php?market_id=43,San Jose,-121.829184,37.365612,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N
146,Alva Farmers Market,,Alva,-98.6602,36.8083,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
147,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,Jackson,-120.7747,38.34751,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N
148,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,Pine Grove,-120.6583,38.41303,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N
149,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,Sutter Creek,-120.8017,38.39283,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N
150,Ambler Farmers' Market,http://www.farmtocity.org/FarmersMarkets.asp,Ambler,-75.225339,40.153274,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y
151,Ambridge Farmers Market,,Ambridge,-80.225,40.5819,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
152,Amelia Barter Town Farmers Market,http://www.Ameliamarket.org,Amelia Court House,-77.984421,37.328752,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
153,Amelia Farmers Market,http://www.ameliafarmersmarket.com,Amelia Island,-81.454531,30.579786,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
154,Amenia Farmers Market,,,-73.5549,41.8513,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
155,American Falls Farmers Market,,American Falls,-120.173,40.5432,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
156,American Market@National Harbor,http://www.nationalharbor.com,National Harbor,-77.01422,38.783762,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,Y
